code,name,industry,price,pe,pb,mktcap_yi,nmc_yi,rev_26h1,rev_25h1,rev_yoy_calc,np_26h1,np_25h1,np_yoy_calc,gm_26h1,gm_25h1,gm_chg_pp,roe_26h1,fin_err
003010,若羽臣,互联网和相关服务,28.45,45.159,11.13,88.5,64.34,22.856,13.1897,73.29,1.6745,0.7226,131.73,65.470477,56.916573,8.55,20.85,
300031,宝通科技,互联网和相关服务,21.1,42.583,2.148,88.36,75.66,19.6552,16.0711,22.3,1.92,1.3974,37.4,41.241847,38.945461,2.3,4.74,
300895,铜牛信息,软件和信息技术服务业,62.69,-112.914,12.157,88.27,42.77,1.0827,1.047,3.41,-0.3677,-0.3582,-2.65,-6.154852,-3.484208,-2.67,-4.94,
688083,中望软件,软件和信息技术服务业,51.96,433.0,3.381,88.15,88.15,3.6004,3.336,7.93,-0.1725,-0.5241,67.09,95.990533,95.132653,0.86,-0.65,
688252,天德钰科技,软件和信息技术服务业,21.32,37.404,3.477,87.2,87.2,12.0548,12.0815,-0.22,1.3802,1.5237,-9.42,24.502724,24.406977,0.1,5.56,
688227,品高股份,软件和信息技术服务业,77.0,-167.391,6.879,87.05,87.05,1.8168,1.6511,10.04,0.0442,-0.1581,127.96,35.147873,28.900861,6.25,0.35,
600654,中安科,软件和信息技术服务业,3.02,160.638,4.569,85.93,69.99,11.591,15.539,-25.41,0.4843,0.0252,1821.83,18.143603,15.380582,2.76,2.68,
000676,智度股份,互联网和相关服务,6.8,60.177,1.988,85.67,85.61,21.7254,21.6569,0.32,1.4333,0.8247,73.8,16.14572,15.452841,0.69,3.33,
300766,每日互动,互联网和相关服务,21.65,-240.556,5.437,85.46,77.49,2.7177,2.1848,24.39,-0.1083,-0.3189,66.04,60.755934,60.443332,0.31,-0.69,
600556,天下秀,互联网和相关服务,4.54,227.0,2.197,82.07,82.07,22.5192,18.4392,22.13,-0.6845,0.3638,-288.15,11.986682,19.13514,-7.15,-1.81,
002212,天融信,软件和信息技术服务业,6.93,107.776,0.881,81.74,80.86,5.4539,8.2625,-33.99,-2.7288,-0.6469,-321.83,59.346881,67.406336,-8.06,-2.88,
301592,六九一二,软件和信息技术服务业,115.97,152.472,8.745,81.18,27.09,0.9674,0.7888,22.64,-0.1882,-0.2533,25.7,39.78084,42.881539,-3.1,-2.0,
002368,太极股份,软件和信息技术服务业,12.98,-10.603,2.175,80.9,80.68,16.8886,36.0736,-53.18,-3.5301,0.0126,-28116.67,27.300779,23.315777,3.99,-9.03,
301179,泽宇智能,软件和信息技术服务业,19.98,54.0,3.238,80.8,47.45,4.5822,4.0375,13.49,0.5899,0.3509,68.11,26.774533,27.204112,-0.43,2.32,
002093,国脉科技,软件和信息技术服务业,7.77,43.725,2.083,78.28,78.28,2.4604,2.4996,-1.57,-0.4149,1.5138,-127.41,47.365379,52.251793,-4.89,-1.08,
